monthly_kwh,peak_ratio,night_ratio,avg_outdoor_temp_c,household_size,contract_power_kw
612.7,0.4703,0.4951,22.1,3,5.36
406.1,0.3427,0.6108,12.8,5,4.87
1278.2,0.5346,0.4846,17.8,5,8.76
520.7,0.3943,0.375,20.1,3,6.08
629.1,0.6819,0.454,17.4,3,5.03
727.4,0.6611,0.4579,22.1,4,4.08
591.4,0.538,0.0895,20.0,4,6.06
529.8,0.4209,0.3678,19.7,3,6.05
510.9,0.6521,0.4448,17.8,5,6.45
1204.2,0.9907,0.1459,23.8,4,7.54
1508.0,0.8982,0.2531,26.5,5,5.44
944.9,0.7857,0.0977,17.2,4,5.2
604.6,0.6403,0.1952,23.0,3,2.82
662.6,0.5014,0.3871,12.1,3,6.44
658.8,0.5886,0.3646,20.9,3,5.92
2127.5,0.9597,0.2999,16.0,6,5.34
306.2,0.4064,0.4763,10.0,3,3.92
966.1,0.7001,0.1073,27.9,3,6.21
514.7,0.6861,0.1158,10.6,2,8.66
852.4,0.7912,0.4701,23.1,3,7.91
832.5,0.5378,0.1881,22.4,4,7.35
96.6,0.5586,0.2733,15.3,3,3.79
600.4,0.3616,0.1764,25.7,4,4.78
748.7,0.5173,0.5192,17.8,4,4.76
262.2,0.4647,0.5156,17.5,2,4.65
1036.9,0.6709,0.3273,26.3,5,6.73
793.8,0.8263,0.2687,14.4,3,5.43
457.4,0.2174,0.5275,21.6,3,2.39
1191.0,0.84,0.5524,9.5,4,6.68
1131.3,0.4454,0.4346,21.7,2,5.54
692.0,0.8065,0.649,9.5,3,4.62
421.7,0.3719,0.3159,25.8,4,3.16
1348.4,0.8676,0.5548,13.1,5,8.14
713.0,0.7076,0.1912,21.9,3,4.33
455.8,0.5148,0.1965,23.4,4,4.61
378.4,0.2839,0.4567,18.1,2,3.92
879.5,0.5047,0.3611,16.4,4,5.13
573.3,0.6186,0.1388,16.4,3,6.72
331.2,0.667,0.3213,18.9,3,3.95
575.1,0.447,0.2175,20.7,5,5.14
548.3,0.4286,0.2979,19.4,3,5.54
838.8,0.7684,0.4904,11.4,4,7.36
158.7,0.2471,0.2335,20.8,3,2.94
1723.2,0.6146,0.1918,21.1,6,7.3
886.4,0.6972,0.265,26.1,4,6.51
1339.7,0.7806,0.1954,18.7,6,8.36
1047.6,0.7302,0.5051,19.7,4,7.8
67.4,0.9249,0.1959,23.7,5,6.58
354.1,0.5667,0.238,18.4,4,6.68
1051.6,0.8941,0.2837,14.4,3,6.95
286.0,0.4626,0.4769,17.5,2,2.46
563.1,0.5942,0.4588,27.7,3,5.14
577.6,0.8197,0.3855,12.3,5,5.42
764.2,0.7053,0.506,24.3,3,4.94
2254.4,0.6448,0.3599,22.1,5,7.43
264.1,0.078,0.1554,17.5,1,3.72
646.4,0.1908,0.4124,10.9,4,3.94
495.6,0.4109,0.3594,21.6,3,6.77
572.8,0.4621,0.3327,26.0,3,4.55
385.9,0.631,0.713,13.7,2,3.42
403.7,0.5077,0.7168,14.5,1,4.81
1278.9,0.754,0.3564,17.4,4,6.36
341.1,0.6203,0.4636,22.2,3,4.26
155.6,0.5983,0.6972,14.0,2,3.57
206.1,0.2389,0.6228,18.9,2,4.31
598.4,0.5417,0.4521,15.8,5,5.3
304.3,0.3735,0.479,16.3,2,3.28
1185.3,0.7067,0.499,13.0,4,7.29
1229.0,0.7897,0.39,21.4,2,6.74
429.4,0.3027,0.5913,18.3,2,4.48
735.0,0.5728,0.477,19.2,4,5.82
323.2,0.4352,0.8816,18.5,3,3.8
528.5,0.589,0.2727,21.2,4,2.94
767.0,0.6271,0.2604,11.1,6,4.49
613.7,0.5963,0.2226,28.0,3,6.32
1519.0,0.6724,0.3063,28.3,4,6.61
239.0,0.3464,0.8572,18.3,2,3.56
456.1,0.6492,0.3992,21.1,4,5.38
664.1,0.3875,0.124,15.7,4,5.52
293.1,0.6156,0.5446,20.4,3,5.37
587.8,0.561,0.208,18.1,5,10.35
272.6,0.1251,0.5451,15.7,1,2.73
1788.9,0.6863,0.172,19.5,6,7.43
1588.2,0.8116,0.1431,25.8,4,7.32
95.5,0.4725,0.2436,14.6,3,5.3
579.6,0.6636,0.2973,25.0,5,5.5
530.3,0.5265,0.4649,26.5,3,4.35
286.1,0.3229,0.4414,28.0,1,4.02
762.5,0.528,0.5131,21.4,4,6.63
547.7,0.3672,0.4019,24.8,4,4.14
909.5,0.6147,0.0485,14.0,4,5.65
1035.1,0.6969,0.4659,15.6,5,7.34
199.2,0.2608,0.6579,20.2,3,2.85
758.6,0.7245,0.5696,8.0,3,6.39
439.7,0.3339,0.1743,20.7,4,4.54
672.4,0.7072,0.105,25.7,4,7.19
227.3,0.3191,0.5485,18.9,3,3.05
1286.7,0.7702,0.2184,17.0,4,8.9
804.0,0.4129,0.1073,14.4,3,6.96
1103.6,0.9004,0.1197,20.5,4,7.28
347.3,0.5473,0.3836,19.4,4,5.27
1753.5,0.7842,0.2905,27.9,5,7.31
357.6,0.4003,0.3658,24.9,3,6.01
662.3,0.5014,0.2376,23.6,5,6.43
404.3,0.2195,0.6663,12.8,3,3.51
463.1,0.541,0.3751,18.8,4,3.14
230.5,0.3823,0.2948,15.1,4,4.92
448.6,0.5202,0.481,24.0,3,5.63
401.5,0.5261,0.4655,28.1,3,6.51
1105.8,0.7379,0.3294,17.7,5,5.44
316.6,0.7529,0.7735,19.0,1,3.3
1092.3,0.4317,0.3151,21.0,4,5.45
170.9,0.1852,0.659,25.1,1,4.58
838.6,0.9628,0.2306,23.5,3,4.66
795.3,0.5988,0.3649,19.7,2,7.24
475.3,0.3206,0.2534,18.4,3,4.58
641.0,0.7222,0.5292,16.5,4,6.56
1422.3,0.8482,0.4348,21.8,4,6.38
806.1,0.6942,0.4201,11.4,5,6.96
408.3,0.3253,0.3376,26.3,4,7.12
693.3,0.5964,0.3712,22.1,5,2.87
493.0,0.4586,0.3591,17.3,4,6.85
291.7,0.5407,0.828,13.7,2,3.31
628.4,0.3751,0.2587,5.0,4,5.76
344.8,0.5396,0.5322,20.0,4,5.02
754.9,0.6346,0.3355,24.9,3,5.2
299.2,0.6215,0.2713,18.4,3,3.96
289.7,0.228,0.7079,17.9,2,2.85
1829.1,0.7717,0.3429,25.0,5,3.45
783.0,0.4986,0.169,21.3,6,9.33
1345.2,0.6149,0.1408,19.8,5,7.32
1162.2,0.6136,0.36,19.2,5,6.02
572.4,0.28,0.2355,18.0,3,5.56
126.2,0.8469,0.5158,18.5,3,3.35
345.0,0.0935,0.4646,21.6,2,2.62
419.2,0.3591,0.6105,13.8,3,4.15
191.6,0.3357,0.6428,14.4,2,3.16
1174.8,0.6642,0.3462,19.9,4,4.33
248.2,0.5991,0.4694,27.2,3,4.0
237.4,0.2474,0.7806,12.8,2,2.98
439.0,0.458,0.4618,15.4,1,3.41
320.5,0.1644,0.6792,17.4,2,4.57
254.4,0.5073,0.7095,15.5,3,2.71
1194.1,0.9017,0.4778,7.3,2,6.64
470.0,0.5267,0.5484,17.6,4,4.49
968.1,0.6003,0.3913,16.3,4,6.05
1146.4,0.6791,0.1018,23.3,6,4.23
201.0,0.6297,0.4053,18.1,2,7.41
842.0,0.7273,0.2992,5.0,3,7.23
805.4,0.561,0.1178,19.9,3,5.99
281.8,0.369,0.4927,24.2,2,3.37
333.1,0.6348,0.435,18.1,3,4.75
1127.7,0.4956,0.1301,17.9,5,6.63
529.2,0.7061,0.2911,9.8,4,5.81
450.4,0.3685,0.3618,17.5,2,4.29
291.1,0.46,0.2713,13.0,3,4.7
1218.8,0.9151,0.2678,19.3,5,7.4
1044.8,0.6821,0.4492,14.8,2,5.34
680.6,0.7591,0.2319,27.2,5,6.76
1603.6,0.9261,0.1752,29.7,4,6.53
520.9,0.7072,0.2707,14.3,3,6.59
959.0,0.6325,0.1692,11.4,4,3.82
132.9,0.4652,0.4808,25.7,2,2.97
296.5,0.4307,0.2132,19.9,2,3.75
1206.1,0.8965,0.1208,15.8,4,8.93
245.5,0.7745,0.3234,26.6,3,8.11
672.4,0.3137,0.4793,18.7,4,4.99
1077.2,0.348,0.4484,5.0,4,5.35
213.1,0.2901,0.6528,16.1,1,3.42
879.2,0.6461,0.4081,23.8,5,5.21
286.7,0.4949,0.5191,23.5,2,3.56
419.8,0.7922,0.1234,18.1,5,6.37
427.2,0.4513,0.4626,32.5,3,4.1
601.9,0.3364,0.6981,21.5,3,3.71
200.9,0.4084,0.6098,13.4,1,3.58
696.7,0.5932,0.2021,15.5,2,5.16
454.8,0.5416,0.5151,20.1,3,3.81
224.4,0.5023,0.5488,24.6,2,3.34
597.5,0.6399,0.4203,20.6,4,5.8
425.5,0.3859,0.215,15.6,5,4.71
564.1,0.5111,0.3494,24.6,4,5.56
194.4,0.1669,0.592,14.8,1,2.3
896.5,0.7184,0.1926,21.5,4,6.74
433.4,0.365,0.7188,20.9,2,3.82
417.6,0.3486,0.6754,17.9,2,4.14
370.6,0.4219,0.3121,25.3,3,3.83
244.6,0.3682,0.5105,16.3,2,3.38
549.4,0.4196,0.2142,20.9,3,4.59
198.6,0.3478,0.311,25.2,2,3.18
192.1,0.2685,0.5945,14.4,1,2.83
310.9,0.5563,0.1626,23.1,5,4.51
483.7,0.8482,0.1435,20.0,4,9.05
248.4,0.3103,0.5469,15.1,3,3.01
201.4,0.1207,0.508,18.3,3,3.57
751.9,0.7359,0.2793,26.4,5,7.23
1279.8,0.9361,0.2336,23.2,4,5.83
729.9,0.8835,0.3374,15.1,3,5.99
325.2,0.1831,0.5057,22.4,1,2.3
684.3,0.3823,0.4686,25.4,5,5.72
372.7,0.4813,0.3067,16.4,2,3.42
312.9,0.4156,0.3883,19.7,2,3.57
558.4,0.2834,0.5717,24.8,4,4.71
57.9,0.3634,0.5343,13.7,5,3.62
780.2,0.5398,0.5839,17.0,3,3.95
364.5,0.6761,0.1451,15.2,3,5.54
359.9,0.1339,0.4311,20.9,2,4.48
481.6,0.2504,0.4165,19.0,4,4.24
769.0,0.3949,0.2453,20.1,3,6.55
1395.2,0.5719,0.3391,20.3,6,5.01
428.9,0.4548,0.4271,19.0,4,4.58
703.2,0.3914,0.1796,15.1,3,6.38
198.5,0.5363,0.5337,23.2,2,2.56
371.4,0.2812,0.4006,17.2,1,3.14
435.1,0.4584,0.5388,18.0,4,5.76
352.2,0.1526,0.361,18.8,3,3.85
493.3,0.4207,0.1818,26.9,3,2.9
64.2,0.2666,0.3578,21.2,3,5.41
234.3,0.1547,0.2494,24.6,2,3.09
312.3,0.2288,0.3903,10.6,2,2.54
510.8,0.6559,0.256,24.7,3,5.66
1181.8,0.8262,0.2159,16.4,6,5.84
638.7,0.8241,0.107,7.6,5,5.95
587.3,0.1141,0.709,19.4,4,3.73
429.6,0.2609,0.5422,21.0,2,3.31
1110.0,0.8744,0.3459,14.3,3,6.02
215.2,0.1589,0.6073,12.5,1,3.41
694.6,0.316,0.3491,21.7,4,4.43
778.3,0.376,0.4436,6.7,4,5.26
699.5,0.4567,0.1925,13.1,3,5.37
175.1,0.3545,0.347,6.6,3,2.83
388.4,0.4254,0.7052,18.1,3,3.19
478.0,0.5521,0.2654,18.0,1,2.3
467.9,0.2847,0.3809,26.2,4,3.08
1038.1,0.6708,0.4887,20.3,5,7.13
259.9,0.2448,0.6018,22.2,2,3.76
368.0,0.4756,0.7572,13.1,3,5.16
841.9,0.7068,0.1627,28.2,2,6.77
387.6,0.2214,0.7668,17.8,1,2.44
176.1,0.2658,0.6418,11.5,2,2.49
584.6,0.2285,0.2236,16.3,4,4.91
925.6,0.6766,0.5263,16.3,3,7.28
289.5,0.6231,0.1429,19.0,4,3.21
1384.1,0.7213,0.2647,18.8,4,6.54
1849.2,0.8555,0.2778,17.9,5,7.42
863.3,0.7147,0.2033,12.5,4,8.2
848.8,0.7246,0.2285,13.1,4,6.01
822.2,0.7564,0.1,22.9,3,4.82
1660.6,0.7033,0.2416,22.6,5,7.66
1501.6,0.962,0.0403,22.6,5,4.1
726.9,0.8194,0.3687,19.3,3,5.89
722.0,0.609,0.1528,12.2,4,4.45
1307.5,0.7732,0.335,28.8,5,10.35
380.8,0.5187,0.3187,18.0,3,8.22
1041.9,0.7746,0.1352,15.0,3,7.35
430.7,0.1686,0.2135,15.8,3,4.18
1465.5,0.5365,0.4431,14.7,5,9.18
699.4,0.4373,0.2033,23.4,3,5.96
929.0,0.6478,0.3244,19.8,5,5.54
619.6,0.8578,0.0795,12.6,3,4.36
1380.9,0.8934,0.0979,20.4,5,7.93
163.3,0.2662,0.5236,18.4,3,4.5
536.2,0.6382,0.294,17.0,5,4.51
798.7,0.637,0.6324,10.5,4,5.75
1148.3,0.9289,0.0719,16.0,5,5.84
1788.9,0.7793,0.1213,23.2,6,6.95
464.6,0.3857,0.1949,20.8,3,4.8
376.1,0.71,0.3374,22.9,5,4.77
297.5,0.1493,0.398,17.5,2,3.74
1425.9,0.8177,0.0834,23.9,6,6.64
254.7,0.559,0.4936,17.1,1,3.81
580.2,0.7201,0.4133,7.6,5,4.05
877.1,0.8058,0.5211,18.9,4,8.17
547.6,0.8078,0.3355,21.2,3,5.38
160.5,0.4465,0.5517,25.8,1,3.43
171.6,0.1893,0.7661,17.5,2,2.69
1072.7,0.2384,0.2641,19.5,6,7.18
383.0,0.552,0.2095,24.6,3,4.18
273.2,0.5887,0.4091,26.0,2,4.25
670.1,0.7564,0.2227,20.6,3,7.14
240.8,0.3525,0.3386,22.1,1,2.9
1553.9,0.768,0.3206,27.7,5,8.0
513.3,0.3724,0.4412,24.3,3,3.6
366.9,0.2275,0.4859,22.3,1,4.66
408.7,0.2414,0.6595,20.7,2,3.54
313.4,0.3787,0.1851,17.4,4,5.95
527.6,0.1282,0.3844,25.7,4,5.75
798.1,0.8769,0.5161,14.5,3,8.16
720.4,0.5731,0.1864,12.7,3,4.31
340.7,0.5187,0.1355,22.0,5,3.77
288.0,0.3189,0.7128,22.3,2,3.57
265.3,0.1365,0.6964,23.3,2,2.99
1106.8,0.6968,0.1961,17.0,4,8.57
266.4,0.194,0.691,19.1,2,3.02
938.9,0.8878,0.2832,30.0,5,7.65
379.8,0.2101,0.6015,15.9,3,4.42
274.9,0.273,0.415,18.7,3,2.79
434.4,0.2574,0.5373,17.5,2,2.3
301.1,0.2377,0.546,13.7,2,4.29
819.9,0.6715,0.2883,11.6,4,7.83
392.8,0.2672,0.4996,27.3,3,3.49
265.6,0.7105,0.4502,23.0,4,2.3
756.7,0.7081,0.2346,14.8,3,6.53
702.0,0.4793,0.3007,8.1,3,5.3
1473.8,0.698,0.2484,27.8,5,5.12
