annual_income_eur,loyalty_score,sessions_per_month,avg_basket_eur,support_tickets_last_6m
33179,0.4415,9.0,31.64,1
24020,0.2048,2.9,41.26,4
34065,0.5783,11.3,39.55,1
45313,0.7689,13.1,47.18,2
25436,0.523,12.7,38.25,1
20887,0.9027,5.9,45.94,0
77284,0.7572,21.7,31.76,2
81935,0.7983,20.9,79.16,2
93280,0.6776,18.6,72.13,0
74473,0.7361,16.8,98.29,1
45248,0.5803,9.4,71.17,2
25578,0.0756,5.4,14.62,2
34041,0.7894,11.0,42.28,1
32994,0.7743,8.9,34.27,2
26096,0.648,15.0,65.34,1
89275,0.86,25.8,120.21,2
78634,0.6036,20.1,65.34,0
32028,0.5035,17.1,43.23,0
52636,0.7788,17.0,133.65,0
32335,0.3474,2.0,35.22,1
88623,0.5676,23.8,103.18,1
32996,0.9168,5.3,38.46,0
18434,0.1876,8.4,38.46,1
30948,0.7176,10.6,51.59,1
93966,0.6817,16.1,105.96,0
30731,0.7666,17.7,80.29,0
23661,0.8757,11.7,43.16,1
25589,0.4117,8.0,41.65,1
16354,0.1008,5.9,43.49,2
29668,0.3178,4.4,14.53,3
86578,0.5906,27.3,133.31,1
27221,0.7471,9.3,16.93,1
20422,0.3741,5.9,48.88,2
93141,0.7315,22.0,114.51,1
102291,0.809,14.4,143.6,1
42743,0.1741,11.0,21.12,2
33527,0.857,13.4,16.64,1
23312,0.4792,0.1,27.06,1
23567,0.1514,7.7,50.03,0
87265,0.7363,17.9,48.11,0
40707,0.6328,2.5,25.65,4
37921,0.882,11.8,35.52,2
71748,0.8407,10.2,105.58,1
28614,0.5501,13.7,13.8,1
28639,0.0768,1.5,37.95,3
89785,0.5653,0.8,85.48,0
57471,0.8883,12.5,74.84,1
36160,0.5707,14.7,39.17,0
75117,0.6625,17.9,110.4,2
99653,0.5826,23.8,95.84,1
87467,0.917,23.5,114.64,0
29562,0.7326,9.7,37.08,2
26018,0.4326,11.2,86.86,2
29070,0.6955,9.5,86.39,1
87002,0.8994,23.9,96.21,1
19156,0.197,1.0,41.57,0
50864,0.1891,12.3,47.06,2
39903,0.3524,9.9,33.79,1
66544,0.6819,14.6,76.26,0
34973,0.8691,18.0,47.38,0
29837,0.6046,3.9,43.74,8
79615,0.4167,23.9,60.06,0
23365,0.7888,9.0,60.12,1
101094,0.8407,20.4,47.99,0
26765,0.6302,13.1,59.56,0
23256,0.4098,4.1,14.04,2
82352,0.7362,10.4,95.88,2
98655,0.8334,8.3,24.67,0
23135,0.7482,7.1,51.8,1
85340,0.8519,25.6,52.35,0
101014,0.8146,19.7,87.43,0
26550,0.0674,7.0,18.88,2
98457,0.9767,20.3,127.34,0
70369,0.7253,7.4,124.21,2
36527,0.4434,9.5,66.05,2
43456,0.6758,11.6,13.32,3
80563,0.6902,13.8,92.32,2
29953,0.2917,8.9,17.99,2
26244,0.6195,13.5,35.37,1
16326,0.1665,13.1,7.15,0
18104,0.4621,11.7,22.56,3
11518,0.7909,7.7,35.49,0
63263,0.886,24.8,97.93,2
32338,0.5999,7.9,61.46,1
70523,0.5581,10.1,115.14,1
34824,0.6379,7.4,34.82,0
90803,0.9323,10.9,71.67,1
67274,0.6198,34.9,81.46,1
105885,0.9395,11.3,138.87,0
32859,0.5114,11.2,63.28,0
25945,0.5316,5.0,26.22,2
35982,0.5247,11.9,44.99,3
34464,0.6484,13.7,53.71,3
91024,0.536,12.7,88.21,1
21944,0.6164,9.0,71.61,1
26077,0.5511,6.1,14.58,0
30630,0.1988,7.4,19.7,0
41394,0.535,15.7,63.43,1
24537,0.3406,4.3,20.61,3
48280,0.6386,8.2,46.83,1
67110,0.6942,13.3,60.89,0
29602,0.4336,5.7,35.02,0
30221,0.3647,6.4,22.36,3
8000,0.7836,8.7,18.61,0
41242,0.2954,7.7,26.69,1
16528,0.3537,16.4,44.4,1
20389,0.1766,4.9,6.37,2
40007,0.4821,6.6,15.71,3
84300,0.7323,20.9,102.15,0
22987,0.4141,11.1,11.92,1
27521,0.4709,6.1,24.98,1
84777,0.8786,21.3,101.95,2
34735,0.2998,7.3,52.81,0
62333,0.9239,21.8,57.06,2
84230,0.6683,18.1,71.3,0
31372,0.3097,10.8,36.39,1
37935,0.4215,14.0,27.11,0
94917,0.8802,12.0,114.81,0
32920,0.6292,21.4,51.6,4
15871,0.468,5.5,39.57,0
36776,0.7738,9.0,46.02,0
31690,0.7245,11.5,24.23,4
21595,0.2771,8.5,29.14,3
45891,0.7155,8.9,35.78,2
33902,0.501,12.0,40.33,1
85011,0.8,18.4,94.16,0
41446,0.1341,13.0,23.46,3
39617,0.6317,20.8,52.1,1
23516,0.667,12.9,29.76,2
86655,0.7942,12.3,134.03,1
34730,0.229,5.1,13.4,3
90442,0.6862,12.0,42.78,1
27784,0.6909,6.0,45.66,1
30377,0.7048,9.3,46.63,2
27895,0.6936,13.9,68.25,0
24202,0.5954,4.1,46.67,4
84113,0.7592,11.5,56.39,1
22605,0.7128,14.9,30.49,1
88892,0.8083,25.0,63.9,1
48662,0.7829,24.5,111.53,1
83935,0.6222,16.7,39.61,1
22186,0.6352,4.9,78.95,1
34647,0.2446,7.1,36.37,2
88253,0.8682,23.6,172.18,1
77714,0.6544,29.6,95.4,1
39438,0.6051,11.5,39.81,1
29566,0.4756,0.5,54.3,2
32998,0.1328,4.5,29.02,1
41445,0.7002,9.2,59.61,1
25774,0.6549,9.9,48.56,1
84101,0.5671,12.0,84.43,1
102721,0.9068,11.4,87.85,1
23517,0.0321,5.7,24.72,3
26473,0.2164,2.2,57.71,0
28162,0.1752,4.1,35.06,5
24207,0.3846,7.9,28.78,1
61821,0.8953,21.7,25.19,1
103698,0.5471,14.5,94.49,0
18300,0.6792,6.2,27.3,1
30832,0.7346,13.3,91.87,0
27877,0.7393,12.2,30.1,2
21768,0.1001,5.5,13.73,2
100515,0.85,20.0,112.53,2
27482,0.2288,6.7,27.57,0
25200,0.1835,6.7,27.97,2
71332,0.8358,14.7,131.96,0
85485,0.674,27.1,105.76,1
26587,0.6553,7.7,45.2,2
30063,0.6929,2.8,79.07,0
25510,0.2583,7.6,30.94,2
69821,0.5754,20.9,107.23,1
31590,0.2722,12.0,14.78,3
76679,0.3027,20.2,96.38,1
97870,0.594,20.8,163.19,0
36314,0.2592,3.1,43.2,3
86757,0.7752,19.9,113.73,2
38417,0.2071,2.3,63.69,0
44702,0.4074,6.0,41.46,0
20022,0.4215,2.6,32.78,1
71203,0.9075,19.3,78.44,0
35472,0.4795,3.0,27.33,5
79005,0.7261,12.2,66.29,1
46763,0.2395,2.4,68.16,0
31814,0.6554,11.8,26.85,1
61997,0.7747,17.9,75.33,1
22749,0.3017,7.5,6.72,3
25789,0.6798,15.1,10.62,1
31430,0.3982,10.6,52.08,1
66431,0.7845,20.4,9.15,0
30980,0.5837,9.4,46.22,0
27133,0.3974,0.8,30.16,5
21474,0.4613,8.4,28.0,3
37828,0.3279,14.2,36.54,0
31248,0.5172,9.2,13.63,3
25750,0.2362,7.2,12.22,0
39431,0.5895,9.3,37.3,1
27826,0.4375,12.0,64.19,0
32850,0.6681,15.9,43.05,2
38080,0.566,9.0,62.46,1
24300,0.8656,4.5,33.58,0
28215,0.5922,13.1,58.55,1
34690,0.6562,17.4,79.64,2
95729,0.7598,21.3,101.92,1
79650,0.74,11.7,77.97,1
40784,0.3769,6.7,73.36,0
33135,0.7694,6.9,100.07,2
103410,0.9493,11.6,38.15,0
10300,0.1423,6.9,38.73,4
26992,0.2808,5.7,20.04,1
40810,0.4753,4.4,63.38,2
42283,0.5033,17.6,44.98,1
49501,0.8514,7.1,49.04,3
39206,0.6585,13.5,66.21,2
57263,0.9057,25.6,95.73,0
30811,0.5465,14.7,23.95,1
29047,0.3293,10.5,48.32,2
34740,0.5882,9.9,63.5,1
73824,0.8578,14.3,163.99,1
30239,0.6766,16.3,49.0,1
37392,0.3015,2.4,55.97,1
43241,0.8578,8.1,9.47,1
31177,0.6312,9.0,21.2,7
35617,0.4709,4.6,29.86,3
28500,0.4085,3.5,27.14,2
22554,0.2534,8.7,45.08,1
19675,0.3714,4.6,19.94,0
34249,0.2789,6.0,31.08,2
94027,0.6636,12.9,94.73,1
96672,0.678,15.2,117.18,2
95572,0.7256,29.0,60.99,4
27300,0.678,13.0,47.37,1
85292,0.7426,22.5,75.0,0
70462,0.5989,21.3,102.28,4
30679,0.22,2.6,43.19,3
124445,0.7891,23.0,91.58,1
34434,0.4713,6.9,93.09,1
72225,0.6699,14.1,105.21,2
21305,0.5703,13.1,13.3,1
37644,0.8328,12.3,57.42,0
68265,0.881,13.1,97.59,1
41527,0.2646,7.7,65.94,1
35861,0.4859,7.8,45.74,1
22773,0.8515,18.9,63.03,3
34296,0.5077,4.8,56.08,0
27960,0.6291,12.2,64.75,0
40182,0.555,11.0,53.73,3
84602,0.9436,15.8,105.26,0
46799,0.4395,11.3,74.01,1
8000,0.34,5.0,25.87,0
