client_id,signup_date,last_activity,tenure_days,plan_tier,effective_fee,discount_pct,sessions_30d,avg_session_min,complaints_90d,payment_failures_180d,auto_pay,contract,region_id,country,device,app_version,marketing_source,annual_income,favorite_color,churned
75561308,2025-05-10,2025-05-12,235,3,36.62,0,10,9.19,1,0,1,monthly,102,PT,ios,5.5,organic,,green,1
82537029,2024-07-15,2025-11-21,534,3,27.89,20,8,14.02,3,0,0,annual,102,NL,ios,4.0,organic,14967.0,blue,0
90598261,2023-05-21,2025-05-29,955,1,9.27,0,7,22.38,0,0,0,monthly,107,DE,ios,3.4,ads,60601.0,black,0
66730962,2025-07-08,2025-07-22,176,2,21.38,0,8,14.9,0,1,0,monthly,104,ES,web,5.7,referral,22081.0,white,1
20344835,2024-05-08,2025-05-24,602,3,34.33,0,11,8.28,0,0,1,monthly,103,NL,web,4.7,ads,25990.0,white,1
43193853,2024-07-01,2025-06-16,548,2,9999.0,5,16,29.07,0,0,0,monthly,102,ES,android,4.3,ads,43387.0,black,1
80551160,2024-02-11,2025-10-13,689,4,53.25,0,10,25.07,0,0,0,monthly,101,NL,android,4.3,partner,-999.0,blue,0
84697055,2023-07-19,2025-06-16,896,1,12.79,0,10,17.51,7,0,0,monthly,101,ES,ios,3.6,organic,13538.0,black,1
15335694,2025-10-11,2025-11-21,81,2,21.56,5,10,22.15,0,0,1,annual,105,PT,android,5.0,ads,52172.0,white,0
43990552,2025-05-05,2025-10-23,240,2,24.14,0,20,15.4,1,0,1,monthly,106,IT,android,5.8,organic,31912.0,green,0
41371305,2024-12-06,2025-11-11,390,2,19.95,0,13,19.6,2,1,1,monthly,103,IT,android,4.3,ads,30769.0,blue,0
88058812,2024-03-16,2025-11-30,655,1,7.15,0,5,10.71,3,0,0,monthly,104,PT,android,4.5,ads,,yellow,0
79035045,2025-06-19,2025-12-10,195,1,9.07,0,12,6.87,2,0,0,monthly,102,ES,web,5.4,referral,31766.0,blue,0
70178438,2024-08-20,2025-11-17,498,3,31.51,10,15,31.3,6,0,1,monthly,101,FR,android,4.3,ads,10169.0,white,0
53061782,2024-04-30,2025-12-03,610,2,17.77,0,15,7.31,0,1,1,monthly,101,FR,android,4.4,organic,37692.0,white,1
17042277,2024-05-08,2025-10-01,602,1,12.94,5,12,16.79,0,1,1,monthly,101,NL,ios,4.7,partner,34859.0,yellow,0
77023799,2023-09-06,2025-12-14,847,1,13.43,10,8,15.72,2,0,1,monthly,107,FR,ios,3.2,organic,26858.0,yellow,0
68049727,2023-04-11,2025-12-17,995,2,19.99,5,3,15.85,0,0,0,monthly,102,ES,android,3.9,organic,34880.0,blue,0
35522916,2024-08-30,2025-05-08,488,1,9.97,0,16,15.46,1,0,1,monthly,101,ES,android,4.0,referral,29128.0,red,0
40271894,2025-08-30,2025-12-10,123,3,32.14,0,12,14.52,1,0,0,monthly,106,PT,android,5.4,ads,,red,0
70206676,2023-03-11,2025-12-14,1026,3,38.39,0,13,16.08,2,0,1,monthly,103,PT,web,3.0,referral,,red,0
13706016,2025-07-28,2025-12-24,156,1,9.14,10,8,16.88,1,1,0,monthly,102,NL,android,5.3,organic,28837.0,green,1
81052848,2025-06-25,2025-11-30,189,2,17.42,10,13,15.24,4,0,1,monthly,102,ES,ios,5.9,organic,21118.0,blue,0
63204896,2023-10-31,2025-08-27,792,1,10.5,5,7,13.34,0,0,1,monthly,101,IT,web,3.5,organic,42624.0,green,0
27882717,2024-11-22,2025-06-16,404,2,18.7,0,10,6.57,2,0,1,monthly,101,FR,android,4.0,organic,16949.0,blue,0
58255897,2023-06-30,2025-07-08,915,4,60.31,0,12,27.08,0,1,1,monthly,105,IT,web,3.6,ads,,black,1
26746165,2025-04-10,2025-08-14,265,2,15.13,10,13,18.46,1,0,1,monthly,104,PT,ios,5.3,organic,27188.0,white,1
36944691,2025-02-06,2025-12-11,328,4,62.38,0,7,15.0,0,1,0,monthly,102,ES,ios,5.1,organic,-999.0,red,0
14051035,2024-01-24,2025-06-29,707,1,9.76,0,13,11.5,0,0,1,monthly,106,DE,web,4.0,ads,52130.0,black,0
84734097,2023-03-16,2025-12-23,1021,2,22.54,0,6,7.48,0,0,0,monthly,101,FR,android,3.4,organic,31169.0,white,0
44395805,2025-11-28,2025-08-02,33,2,19.55,0,9,19.41,1,0,1,monthly,104,FR,web,5.1,organic,44209.0,green,1
71208668,2024-05-03,2025-09-24,607,2,19.69,0,14,14.54,1,0,1,monthly,101,ES,android,4.6,organic,40825.0,yellow,0
11257441,2025-09-04,2025-06-03,118,4,45.86,20,15,19.48,1,0,1,monthly,101,FR,android,5.6,organic,34559.0,black,0
87519126,2025-01-12,2025-10-19,353,1,11.08,5,10,6.39,1,0,0,monthly,104,ES,android,5.8,organic,40438.0,yellow,0
57461329,2025-05-02,2025-07-31,243,4,58.06,0,21,26.53,2,0,1,annual,102,ES,ios,5.9,ads,,blue,0
24723998,2025-04-12,2025-09-17,263,4,58.92,0,9,19.66,5,0,1,monthly,101,DE,android,5.9,ads,54987.0,blue,1
34971248,2023-08-02,2025-08-28,882,2,17.99,10,10,14.01,0,0,1,monthly,104,DE,android,3.3,ads,33180.0,red,0
46366433,2024-02-03,2025-05-20,697,2,20.26,0,8,16.81,0,1,1,monthly,106,NL,android,4.2,organic,-999.0,black,0
99015033,2024-05-26,2025-07-13,584,2,16.24,0,8,18.45,1,1,1,monthly,104,FR,android,4.7,organic,25924.0,green,0
91199243,2024-06-29,2025-09-23,550,2,19.48,0,12,6.98,1,0,1,monthly,101,IT,android,4.4,partner,44425.0,white,0
88471582,2023-02-17,2025-09-15,1048,3,36.74,0,9,24.32,1,0,0,annual,102,NL,ios,3.7,organic,19114.0,green,0
26644213,2024-08-21,2025-07-15,497,2,19.16,0,17,19.15,1,0,1,monthly,104,FR,ios,4.8,referral,58488.0,yellow,0
59468227,2023-06-18,2025-10-09,927,4,53.55,10,22,13.28,2,0,1,annual,102,IT,ios,3.6,organic,50279.0,red,0
12943485,2025-03-24,2025-11-21,282,3,35.35,0,9,7.67,1,0,1,monthly,103,NL,ios,5.4,ads,14764.0,red,0
90921091,2025-01-17,2025-09-10,348,2,19.71,0,9,20.17,0,1,1,monthly,104,PT,android,5.8,ads,42827.0,yellow,0
15384817,2025-10-07,2025-12-15,85,3,32.72,0,8,15.27,0,0,1,monthly,107,ES,android,5.5,ads,18451.0,black,0
96650782,2025-03-26,2025-11-21,280,2,15.93,20,7,16.65,2,0,0,monthly,106,ES,ios,5.1,organic,20330.0,green,0
27003975,2024-02-06,2025-09-22,694,4,62.18,0,13,15.41,1,0,1,monthly,102,ES,ios,4.1,referral,25435.0,yellow,1
64014865,2025-11-25,2025-06-23,36,1,7.68,0,6,7.48,0,0,0,monthly,106,IT,ios,5.0,ads,21607.0,blue,0
83749233,2024-03-25,2025-06-27,646,4,59.17,0,13,18.3,0,1,0,monthly,103,IT,android,4.1,ads,42156.0,black,1
42208197,2023-12-23,2025-10-30,739,3,25.56,20,10,13.31,0,0,0,monthly,106,ES,android,3.4,referral,,yellow,0
36252695,2025-09-18,2025-09-21,104,4,55.85,10,11,14.62,1,0,1,monthly,105,FR,android,5.5,organic,-999.0,white,1
89447850,2024-02-10,2025-11-25,690,2,19.79,0,7,28.01,0,0,0,monthly,105,FR,ios,4.5,ads,32042.0,black,0
70878887,2023-03-25,2025-07-03,1012,3,33.12,0,18,21.71,0,1,1,annual,103,IT,web,3.3,partner,24610.0,white,0
33996916,2024-05-29,2025-11-02,581,2,20.19,0,10,20.06,1,0,0,monthly,105,ES,ios,4.3,partner,24711.0,white,0
10461616,2025-05-21,2025-06-23,224,3,30.72,5,15,32.07,0,1,1,monthly,104,ES,ios,5.5,organic,47479.0,green,0
39526593,2023-07-27,2025-06-12,888,1,7.33,5,10,16.81,1,1,1,annual,105,DE,ios,3.9,referral,27116.0,white,0
32761847,2024-05-21,2025-07-19,589,2,13.42,20,11,15.47,3,1,1,monthly,104,ES,web,4.7,organic,,green,1
68494173,2023-05-23,2025-10-13,953,2,17.64,0,12,10.92,0,0,1,monthly,101,IT,web,3.1,ads,23104.0,red,0
45198764,2025-01-21,2025-05-17,344,2,22.98,0,6,10.78,0,0,1,monthly,104,FR,android,5.2,ads,32644.0,white,1
12958091,2024-06-04,2025-07-20,575,2,18.38,0,9,1.97,0,0,0,annual,101,DE,android,4.9,ads,36331.0,red,1
68720293,2023-12-28,2025-07-29,734,3,34.21,5,13,19.99,0,0,0,monthly,102,PT,web,3.8,organic,48547.0,red,0
20560857,2023-09-06,2025-06-09,847,2,18.15,0,6,5.9,1,0,1,annual,104,ES,ios,3.4,organic,,yellow,0
20827766,2024-09-10,2025-06-03,477,3,36.66,0,6,18.92,0,0,0,monthly,103,ES,android,4.2,organic,36304.0,black,1
59911817,2025-01-03,2025-12-13,362,1,7.73,0,8,13.74,1,0,1,monthly,101,NL,ios,5.8,organic,33045.0,green,0
38390575,2025-10-26,2025-06-03,66,3,35.08,0,10,15.27,1,0,1,monthly,101,IT,android,5.8,organic,19278.0,yellow,0
22523393,2024-04-23,2025-07-01,617,3,33.35,5,15,15.5,2,1,0,monthly,104,ES,web,4.3,ads,29306.0,white,1
68484843,2023-06-25,2025-11-12,920,2,25.11,0,14,23.82,0,0,0,monthly,107,IT,ios,3.0,ads,63678.0,yellow,0
87062967,2025-06-30,2025-10-19,184,3,36.38,0,10,21.76,0,0,0,monthly,104,FR,web,5.5,ads,,black,1
24132453,2024-11-20,2025-07-04,406,4,58.69,0,13,15.08,0,1,1,monthly,106,DE,ios,4.6,ads,24124.0,yellow,0
88646662,2025-02-05,2025-11-10,329,3,36.5,0,9,8.86,1,0,1,monthly,104,PT,android,5.6,organic,12650.0,yellow,0
16267497,2023-04-17,2025-09-14,989,2,23.46,5,10,20.04,0,0,0,monthly,102,ES,web,3.9,referral,,yellow,0
56158269,2023-12-09,2025-07-19,753,2,16.4,0,9,8.4,0,0,1,monthly,101,DE,android,3.4,organic,15436.0,white,0
74830859,2025-04-20,2025-07-28,255,3,33.14,0,6,4.17,1,1,1,annual,103,FR,ios,5.9,organic,14838.0,green,1
18316105,2025-06-30,2025-05-27,184,2,19.47,0,12,17.99,1,0,1,monthly,107,DE,android,5.8,organic,36520.0,green,1
94038618,2024-04-21,2025-12-05,619,3,34.07,0,11,22.06,0,0,1,monthly,103,FR,android,4.0,referral,42226.0,black,0
35209623,2025-05-31,2025-10-22,214,2,15.41,20,8,11.57,1,0,0,annual,103,NL,ios,5.5,ads,36937.0,yellow,0
79344929,2025-07-10,2025-05-09,174,3,30.51,5,12,17.43,0,0,1,monthly,105,DE,ios,5.1,organic,17696.0,red,0
62539180,2024-02-29,2025-08-17,671,1,13.08,0,6,11.01,0,0,0,annual,106,PT,web,4.0,partner,8423.0,black,0
42633574,2025-09-10,2025-11-02,112,1,6.86,0,10,18.83,1,0,0,monthly,104,ES,ios,5.0,ads,3371.0,red,0
14949858,2023-11-12,2025-10-23,780,4,59.55,0,8,20.57,0,0,1,monthly,103,FR,android,3.7,ads,14934.0,yellow,0
88348980,2023-09-20,2025-10-11,833,4,62.29,0,15,14.17,0,0,0,monthly,107,PT,web,3.8,organic,17636.0,blue,0
41874026,2025-01-17,2025-08-20,348,4,59.92,0,11,8.58,1,0,1,monthly,103,ES,web,5.4,organic,-999.0,blue,0
55294529,2024-11-28,2025-10-24,398,4,57.84,0,10,5.76,0,0,1,annual,102,NL,web,4.9,organic,35672.0,yellow,0
26081325,2023-06-03,2025-08-04,942,2,17.02,0,9,19.8,0,0,1,monthly,106,IT,web,3.6,organic,,red,1
61860717,2025-06-30,2025-09-16,184,2,18.51,5,9,7.43,0,1,0,monthly,107,PT,ios,5.0,referral,54182.0,green,0
98221278,2023-08-07,2025-08-07,877,1,8.32,0,13,17.48,2,1,1,monthly,107,ES,ios,3.3,organic,64294.0,red,0
88486176,2025-05-31,2025-11-24,214,2,19.42,5,12,19.66,1,1,1,monthly,104,FR,ios,5.6,organic,30510.0,red,0
95116629,2023-01-09,2025-08-04,1087,1,6.22,10,12,11.99,1,0,0,monthly,106,FR,android,3.6,organic,5203.0,green,0
90894379,2025-05-22,2025-05-24,223,4,61.78,0,20,16.0,0,0,0,monthly,102,NL,web,5.7,ads,24484.0,yellow,1
32780577,2025-05-11,2025-11-29,234,1,10.24,0,8,19.99,1,0,0,monthly,107,ES,android,5.7,organic,28265.0,black,1
18794068,2025-05-04,2025-10-14,241,1,9.89,5,10,9.65,1,0,1,monthly,106,IT,android,5.6,organic,41604.0,white,0
50775887,2024-12-29,2025-07-18,367,1,13.16,0,14,10.04,0,1,0,monthly,103,IT,android,4.9,organic,13295.0,blue,0
18520534,2024-05-31,2025-08-05,579,1,9.03,0,5,11.84,0,0,0,monthly,102,PT,android,4.5,referral,9277.0,green,0
70907850,2025-02-11,2025-07-23,323,1,8.39,0,8,21.67,0,1,1,monthly,106,NL,ios,5.3,ads,35669.0,white,0
75327995,2023-10-31,2025-08-19,792,3,32.1,5,11,24.41,0,1,1,monthly,104,PT,ios,3.1,ads,24344.0,blue,0
76983717,2025-05-04,2025-07-21,241,2,18.59,5,9,13.66,0,0,1,monthly,107,ES,ios,5.2,ads,24123.0,yellow,0
10556440,2024-08-31,2025-08-07,487,3,33.05,5,6,9.23,0,0,0,monthly,106,PT,ios,4.4,referral,,black,0
10663393,2024-05-17,2025-12-14,593,4,58.16,0,13,21.63,0,1,1,annual,106,DE,ios,4.4,organic,26347.0,green,0
54738239,2024-07-07,2025-07-04,542,3,30.54,0,10,4.48,1,0,1,monthly,103,IT,android,4.0,referral,,white,0
47627195,2024-09-14,2025-09-15,473,3,32.07,5,10,15.99,5,1,1,monthly,105,ES,ios,4.6,organic,0.0,blue,0
69398344,2023-02-10,2025-12-19,1055,2,18.7,10,7,13.49,1,0,0,monthly,106,PT,android,3.3,partner,32229.0,red,0
74268326,2023-06-03,2025-09-24,942,1,10.29,0,5,21.01,0,0,1,monthly,103,FR,web,3.4,ads,41626.0,red,0
44972314,2023-09-26,2025-09-18,827,2,18.1,20,12,23.37,0,1,0,monthly,101,PT,android,3.6,referral,38260.0,yellow,0
82751778,2023-05-06,2025-12-11,970,4,57.86,10,10,8.84,0,0,1,monthly,106,FR,web,3.8,ads,61501.0,yellow,0
48409097,2024-04-26,2025-05-06,614,3,36.66,0,15,16.76,1,0,0,monthly,102,DE,android,4.5,organic,25875.0,yellow,1
71532307,2025-01-01,2025-11-08,364,2,23.03,0,11,11.33,0,0,1,monthly,101,ES,android,5.9,ads,,green,0
49600236,2024-12-17,2025-10-13,379,2,21.68,0,12,13.24,0,0,1,monthly,101,ES,web,4.7,organic,49830.0,green,0
17152823,2024-05-30,2025-09-17,580,3,36.81,5,14,19.2,0,0,0,monthly,103,NL,ios,4.9,ads,32757.0,white,1
36632525,2025-07-25,2025-06-15,159,3,39.06,0,13,13.24,1,0,1,annual,104,IT,android,5.4,organic,53077.0,green,0
97085203,2024-09-10,2025-07-06,477,2,22.08,0,11,15.91,0,0,1,monthly,101,ES,ios,4.1,referral,43436.0,black,0
47861712,2023-03-28,2025-06-29,1009,4,61.54,0,18,22.24,0,0,1,annual,104,DE,android,3.2,organic,34014.0,white,0
62366025,2025-04-17,2025-11-05,258,3,31.08,10,10,23.59,1,0,0,monthly,107,PT,android,5.2,ads,31839.0,red,1
82294395,2024-09-21,2025-06-12,466,3,33.15,5,7,15.48,1,0,1,monthly,104,DE,android,4.3,referral,28714.0,blue,1
59265838,2024-11-26,2025-06-15,400,1,8.78,5,11,15.46,1,2,1,monthly,104,FR,android,4.2,ads,31514.0,yellow,1
85244005,2024-09-11,2025-09-11,476,1,11.36,0,13,8.61,1,2,1,annual,102,PT,android,4.5,ads,20163.0,black,0
22246247,2024-08-29,2025-08-23,489,4,58.41,0,15,25.26,0,0,0,monthly,104,ES,android,4.9,ads,41484.0,white,0
63823576,2023-04-10,2025-12-23,996,2,19.57,0,12,17.97,2,0,0,monthly,104,IT,web,3.1,organic,58800.0,black,0
45583987,2024-09-04,2025-07-02,483,2,14.81,0,12,15.82,0,1,0,monthly,106,FR,android,4.7,organic,6634.0,white,1
37342064,2025-05-20,2025-05-15,225,2,23.78,0,11,15.26,0,0,0,monthly,107,IT,android,5.5,referral,48504.0,white,1
44559702,2023-11-29,2025-09-09,763,1,7.6,20,5,15.41,0,0,1,monthly,104,ES,android,3.1,partner,35388.0,white,0
46498110,2024-10-22,2025-08-24,435,3,35.99,0,9,18.88,1,0,1,monthly,102,ES,web,4.7,ads,46622.0,yellow,0
47482980,2023-02-03,2025-09-03,1062,1,13.2,0,11,20.12,0,1,1,annual,105,NL,android,3.4,referral,,black,0
73320966,2024-01-16,2025-12-12,715,3,35.65,0,13,24.91,0,0,0,monthly,107,PT,android,4.6,referral,-999.0,white,0
89486897,2024-04-23,2025-08-05,617,2,22.01,5,15,17.21,1,0,1,monthly,107,NL,web,4.9,organic,49717.0,blue,0
52661321,2025-12-12,2025-07-11,19,2,17.26,0,11,25.28,0,1,1,annual,107,IT,android,5.1,organic,31310.0,yellow,0
60717051,2023-08-23,2025-05-23,861,1,15.26,0,6,19.85,0,0,1,monthly,102,ES,android,3.2,ads,43550.0,yellow,0
20987356,2023-10-30,2025-05-22,793,3,37.38,0,9,13.89,0,0,0,monthly,106,IT,ios,3.1,organic,23762.0,green,1
47896333,2024-03-23,2025-09-04,648,1,10.45,0,8,4.0,0,0,1,monthly,101,FR,android,4.5,organic,29224.0,black,1
69819483,2025-12-22,2025-05-15,10,1,13.13,0,10,15.01,1,0,1,monthly,101,FR,android,5.9,organic,39130.0,black,1
81637302,2025-07-23,2025-08-27,161,3,32.42,0,8,23.35,2,0,0,monthly,105,ES,ios,5.6,ads,37665.0,white,1
18410747,2023-02-07,2025-07-30,1058,2,18.39,5,12,10.35,0,0,0,monthly,101,ES,web,3.5,ads,,blue,0
58105653,2023-09-14,2025-08-09,839,2,23.17,0,7,14.24,0,0,1,monthly,103,ES,web,3.0,organic,27227.0,white,0
98866100,2025-06-18,2025-05-06,196,1,5.88,0,15,16.74,1,1,0,monthly,101,ES,ios,5.3,organic,32000.0,white,0
48038935,2023-03-05,2025-07-07,1032,4,61.22,0,15,21.4,1,1,1,monthly,101,IT,android,3.4,ads,-999.0,yellow,0
38860428,2025-07-25,2025-12-03,159,2,21.16,0,14,13.17,0,0,1,annual,102,NL,ios,5.4,ads,52197.0,green,0
73421931,2023-11-05,2025-12-14,787,1,14.32,0,9,9.03,0,0,1,annual,104,FR,web,3.9,referral,,blue,0
24247773,2025-10-01,2025-09-24,91,2,16.51,0,8,17.42,0,0,0,monthly,103,ES,ios,5.3,organic,48632.0,black,1
65038480,2023-11-18,2025-08-30,774,1,10.82,20,11,10.29,0,0,0,monthly,104,ES,android,3.0,ads,21238.0,yellow,0
63633749,2024-04-20,2025-07-24,620,2,15.01,20,13,4.24,0,1,1,annual,105,IT,web,4.4,organic,34909.0,yellow,0
44761504,2024-12-25,2025-09-07,371,1,9.01,0,4,24.04,1,0,1,annual,101,FR,web,4.6,partner,35951.0,white,1
78009365,2023-05-19,2025-08-30,957,1,7.3,0,14,21.06,0,0,1,annual,106,IT,android,3.3,referral,25178.0,black,0
34295583,2024-09-01,2025-05-24,486,2,16.72,5,7,25.05,0,0,1,monthly,101,ES,ios,4.8,organic,29514.0,yellow,1
74662549,2024-07-06,2025-10-12,543,4,54.79,10,17,21.49,0,1,1,monthly,106,IT,web,4.7,organic,,red,1
58392766,2025-05-08,2025-09-04,237,1,7.54,0,15,19.83,0,0,1,annual,107,IT,android,5.4,organic,42147.0,red,1
34075088,2025-12-26,2025-08-20,10,1,11.62,0,3,14.97,1,0,1,monthly,107,ES,web,5.9,organic,28114.0,black,0
98114335,2024-12-28,2025-09-10,368,4,58.53,0,13,14.13,1,1,1,monthly,104,NL,android,4.2,ads,31414.0,green,0
58616997,2024-03-24,2025-05-13,647,4,45.86,20,13,18.32,0,0,1,monthly,106,DE,android,4.9,organic,23987.0,red,0
74029608,2024-03-20,2025-05-15,651,3,33.83,0,3,9.43,6,0,1,monthly,102,ES,web,4.7,organic,42193.0,black,1
72284191,2024-04-02,2025-08-30,638,1,10.73,0,10,8.08,1,1,1,annual,107,DE,web,4.1,organic,34594.0,black,0
92291954,2025-06-10,2025-09-14,204,2,19.38,0,8,12.01,0,0,1,monthly,101,FR,android,5.3,referral,15912.0,white,0
83280686,2023-12-18,2025-08-12,744,1,10.07,0,13,23.0,0,0,1,monthly,104,NL,web,3.6,organic,30426.0,blue,0
26591032,2023-07-02,2025-11-18,913,1,11.52,0,5,5.86,1,0,1,monthly,104,ES,ios,3.3,organic,17509.0,green,0
53580972,2024-01-02,2025-09-20,729,2,22.37,0,5,5.95,0,1,1,monthly,106,PT,web,4.8,organic,32285.0,yellow,0
71630382,2023-01-25,2025-11-09,1071,2,17.38,10,8,17.55,0,0,1,monthly,106,IT,ios,3.2,organic,41559.0,black,0
10716524,2023-04-27,2025-11-27,979,2,16.81,5,11,12.26,0,0,0,annual,103,IT,web,3.9,organic,34697.0,blue,0
34933088,2023-04-09,2025-12-09,997,3,35.16,0,15,18.66,1,1,1,monthly,102,ES,ios,3.9,referral,38081.0,blue,0
48021560,2025-04-24,2025-08-13,251,2,19.97,5,10,20.44,3,0,0,monthly,106,ES,ios,5.1,partner,46800.0,yellow,0
26361495,2025-03-01,2025-12-31,305,2,15.94,5,2,15.27,5,0,0,monthly,107,PT,android,5.7,organic,20539.0,green,1
65314252,2025-02-01,2025-07-29,333,3,33.03,0,14,11.71,2,0,1,monthly,101,DE,android,5.6,organic,25859.0,white,0
37108884,2024-05-20,2025-09-19,590,4,58.41,0,14,23.2,1,0,1,monthly,106,NL,android,4.1,organic,6803.0,blue,1
22672295,2025-02-24,2025-10-05,310,2,18.56,5,14,19.95,3,1,1,annual,104,DE,android,5.6,organic,26687.0,red,0
53619133,2023-06-26,2025-06-30,919,2,18.32,0,8,14.16,5,0,1,annual,103,DE,web,3.2,referral,23414.0,black,0
93324225,2025-09-13,2025-08-24,109,2,21.55,0,10,14.37,1,0,1,monthly,101,NL,ios,5.8,ads,41156.0,black,0
23597745,2024-07-02,2025-07-08,547,1,6.46,0,5,15.49,1,0,1,monthly,106,IT,ios,4.8,organic,38459.0,white,0
26082082,2025-10-24,2025-07-14,68,3,31.51,0,9,12.38,1,0,1,annual,101,FR,android,5.0,organic,53012.0,blue,1
20183455,2023-06-16,2025-12-24,929,1,9.26,0,6,3.71,2,1,1,monthly,106,PT,ios,3.8,organic,24980.0,black,0
23728109,2024-06-28,2025-11-10,551,2,19.6,0,7,18.25,1,0,1,monthly,102,ES,android,4.9,organic,37552.0,white,0
48602507,2025-02-01,2025-08-17,333,2,16.79,0,4,17.14,0,1,0,monthly,104,DE,web,5.3,ads,42364.0,yellow,0
10100768,2024-06-26,2025-05-11,553,1,8.66,0,7,1.0,0,0,1,monthly,102,ES,android,4.9,ads,,blue,1
21480069,2024-05-03,2025-11-24,607,1,8.65,5,7,16.81,1,0,1,monthly,105,NL,android,4.7,organic,38098.0,yellow,0
32498399,2023-07-02,2025-12-06,913,2,19.12,0,11,25.29,0,0,0,monthly,101,NL,android,3.5,organic,,yellow,0
10011009,2024-02-22,2025-05-20,678,4,54.29,10,10,7.73,4,0,0,monthly,103,PT,android,4.1,referral,,white,1
85236709,2023-09-19,2025-05-13,834,3,30.18,10,9,13.81,2,0,1,monthly,104,FR,ios,3.4,ads,,green,0
37204181,2023-11-27,2025-11-21,765,2,23.24,0,15,14.66,0,2,1,monthly,104,IT,ios,3.1,organic,,white,0
74745760,2025-01-18,2025-09-26,347,1,11.06,0,10,24.46,0,0,1,annual,104,ES,android,5.2,ads,26043.0,blue,0
70863697,2024-11-21,2025-08-03,405,3,33.21,0,9,20.98,0,0,0,monthly,101,FR,ios,4.9,referral,22047.0,black,1
23511389,2024-10-26,2025-11-15,431,1,9.69,5,11,9.48,1,0,0,monthly,101,PT,web,4.1,organic,68707.0,black,0
22949814,2024-02-01,2025-10-14,699,2,20.26,0,14,17.55,2,0,1,monthly,102,ES,ios,4.5,referral,16225.0,yellow,0
94020388,2025-11-16,2025-09-28,45,3,9999.0,0,15,29.57,0,0,0,monthly,101,ES,ios,5.9,referral,43979.0,yellow,1
54350444,2023-04-06,2025-07-31,1000,2,18.67,0,10,10.75,1,0,1,monthly,102,IT,android,3.1,organic,37827.0,black,0
67593518,2024-01-11,2025-10-19,720,2,21.68,0,21,17.18,2,1,1,monthly,101,IT,ios,4.1,referral,36508.0,red,0
72841889,2023-05-10,2025-09-24,966,1,9.58,5,7,16.83,1,0,1,annual,104,FR,android,3.4,organic,14813.0,green,1
55555556,2024-01-07,2025-10-23,724,1,9999.0,5,7,10.09,1,2,0,monthly,101,IT,android,4.4,organic,-999.0,white,1
68576587,2025-11-19,2025-07-02,42,2,22.83,0,3,23.33,5,0,0,monthly,103,NL,android,5.4,referral,34471.0,green,1
21287755,2024-02-06,2025-11-25,694,4,60.42,0,14,12.66,0,1,1,monthly,106,ES,ios,4.2,organic,24788.0,red,0
91621431,2025-09-21,2025-11-06,101,1,9.41,0,5,4.92,1,0,0,monthly,106,PT,android,5.9,organic,13384.0,white,0
90046820,2024-06-26,2025-11-02,553,2,21.1,0,7,10.6,1,0,0,monthly,104,DE,ios,4.1,ads,3848.0,black,0
78570084,2025-02-05,2025-05-28,329,3,34.59,0,11,18.67,0,0,1,annual,101,FR,web,5.0,ads,41858.0,yellow,1
64045710,2024-05-15,2025-05-19,595,1,13.69,0,9,9.46,1,2,0,monthly,104,ES,android,4.2,organic,20273.0,white,1
